Filename,Seller Name,Seller Tax ID,Client Name,Client Tax ID,Invoice Number,Invoice Date,Net Worth,VAT,Gross Worth
batch1-0366.jpg,Williams Ltd,964-85-1307,Gross PLC,963-76-2257,74583312,05/05/2015,"634,36","63,44","697,80"
batch1-0367.jpg,Day and Sons,908-94-9799,"Phillips, Mcdaniel Burton and",932-85-2181,23995139,05/30/2015,"84944,82","8494,48","93439,30"
batch1-0368.jpg,Horne-Fields,964-80-0842,French-Sullivan,905-94-4635,87934175,10/19/2016,"97,98","9,80","107,78"
batch1-0369.jpg,Miller Inc,909-72-0896,"Mason, Melton and Matthews",911-83-0636,64809205,08/18/2014,"651,15","65,12","716,27"
batch1-0370.jpg,"Franklin Thornton, and Hamilton",998-77-7262,"Pennington Farmer, and Osborn",997-74-8995,11637316,03/21/2015,"3763,69","376,37","4140,06"
batch1-0371.jpg,Lewis and Sons,988-97-7797,Hancock LLC,982-72-2795,39652805,03/20/2020,"299,99","30,00","329,99"
batch1-0372.jpg,Hart-Wright,953-74-2648,Foster-Parks,943-86-1330,15172184,08/24/2017,"4819,90","481,99","5301,89"
batch1-0373.jpg,Jones-Silva,902-82-9449,Stafford and Sons,910-94-4040,99454334,07/08/2017,"96,00","9,60","105,60"
batch1-0374.jpg,Kirby Group,968-79-4900,Martin-Allison,943-81-3637,87873157,05/09/2017,"6,00","0,60","6,60"
batch1-0375.jpg,"Moore, Thomas and Crosby",943-88-9123,Aguirre Ltd,924-73-4934,23897213,07/14/2019,"252,63","25,26","277,89"
batch1-0376.jpg,Ross Group,929-73-9404,Leblanc and Sons,963-87-9848,60518602,08/30/2016,"2334,95","233,50","2568,45"
batch1-0377.jpg,Wilkins Ltd,928-96-4400,Ross Inc,939-96-7563,35259356,01/20/2018,"629,80","62,98","692,78"
batch1-0378.jpg,Duran Group,954-81-3871,Mayer-Bates,,74263194,03/28/2020,"119,93","11,99","131,92"
batch1-0379.jpg,"Howell, Underwood Davis and",989-83-0730,Gardner LLC,948-94-1459,59051048,12/12/2015,"267,52","26,75","294,27"
batch1-0380.jpg,Montgomery LLC,924-83-8802,Campbell-Flores,999-80-5625,13310164,01/16/2020,"17045,00","1704,50","18749,50"
batch1-0381.jpg,Williams PLC,995-95-4739,Mcdonald-Green,930-74-1829,76272465,01/06/2017,"604,99","60,50","665,49"
